Entity,DBSCAN_Cluster
trapping,0
environment,1
volcanic ,2
trap ,3
fracture,4
interaction,5
diffusion,0
dynamics,0
thermal,6
dissolution,7
country,-1
well,-1
ammonia,8
transport,9
density,0
basalt,-1
offset,5
depth,0
construction,10
rock,0
sample,11
reservoir,7
utilization,-1
carbonate,-1
regulatory,8
fate,9
integrity,9
mineral,1
chemical,7
policy,3
assessment,3
cement,-1
phase,0
cost,9
environmental,-1
factor,4
province,9
injection,3
characterization,10
precipitation,7
alteration,9
efficiency,8
fuel,8
sector,9
source,9
greenhouse,12
operation,10
steel,9
migration,-1
estimated,8
temperature,9
capture,0
plume,8
chemistry,-1
technology,0
iron,3
isotope,2
conversion,0
surface,0
analysis,8
pressure,8
site,9
emission,7
matrix,13
technique,4
facility,11
reaction,11
model,10
basin,12
status,5
planned,9
management,4
capacity,8
gradient,13
stability,6
core,8
hydrogen,7
footprint,7
Gujarat,3
impact,10
carbon,-1
fluid,9
heat,3
gas,7
operational,0
storage,8
buffer,0
project,8
industry,0
velocity,13
